temperature,humidity,wind_speed,solar_radiation,peak_hour_indicator,daily_units,monthly_units
11.85,67.09,9.72,913.58,22,14.9,446.95
37.78,75.77,2.59,525.36,20,14.79,443.76
27.94,37.53,13.09,724.91,7,8.23,246.75
21.94,63.74,9.2,436.05,3,5.46,163.89
2.02,60.02,2.36,630.03,5,5.01,150.36
2.02,78.3,14.44,340.58,1,3.72,111.73
-2.39,83.43,7.78,301.16,15,10.2,306.09
33.98,20.85,1.09,578.23,3,4.83,144.89
22.05,67.18,9.4,498.13,8,7.8,234.11
26.86,23.63,3.8,579.54,9,8.1,243.07
-4.07,58.42,12.06,286.66,15,9.8,294.07
38.65,40.13,12.27,366.96,10,9.33,279.94
32.46,41.47,14.68,83.9,2,5.34,160.17
4.56,44.71,7.53,52.28,20,12.32,369.73
3.18,63.49,6.82,253.46,5,5.8,174.08
3.25,43.38,11.3,74.25,19,11.94,358.25
8.69,71.29,1.99,103.77,13,9.42,282.68
18.61,48.32,8.2,812.93,11,9.71,291.19
14.44,24.78,8.19,38.87,1,2.58,77.26
8.11,74.86,1.34,658.94,22,14.19,425.74
22.53,40.0,6.27,272.56,15,11.04,331.18
1.28,50.29,12.8,871.55,18,12.31,369.37
8.15,67.98,12.84,484.99,16,11.93,357.83
11.49,43.27,1.49,305.58,9,7.71,231.19
15.52,23.96,1.36,517.64,1,3.2,96.07
30.33,46.17,3.94,381.96,11,9.54,286.1
3.99,86.11,13.12,564.3,9,8.38,251.4
18.14,64.92,1.93,114.53,23,15.36,460.79
21.66,67.0,10.8,996.99,11,10.58,317.25
-2.91,64.26,1.52,425.56,13,9.52,285.68
22.34,33.93,9.35,348.23,2,4.18,125.36
2.67,49.28,5.34,710.21,14,10.26,307.87
-2.07,72.57,11.83,363.9,6,5.83,174.96
37.7,27.1,3.51,833.27,8,8.07,242.22
38.45,39.45,9.59,454.27,18,13.9,416.94
31.38,39.34,3.54,719.56,16,11.7,351.02
8.71,50.24,10.7,107.45,21,13.83,415.03
-0.6,88.63,13.11,846.12,12,9.63,288.92
25.79,24.73,1.9,735.72,11,9.4,281.89
14.81,56.31,13.0,211.72,6,6.24,187.32
0.49,32.56,8.9,145.29,3,3.44,103.16
17.28,87.95,1.91,316.29,14,10.71,321.4
-3.45,27.93,6.41,976.07,2,3.64,109.2
35.92,48.25,2.41,256.83,11,9.44,283.15
6.65,71.65,10.51,456.13,22,14.69,440.82
24.81,69.32,11.38,30.02,3,5.01,150.43
9.03,49.59,1.59,397.23,18,11.45,343.57
18.4,44.26,7.59,571.32,1,3.7,111.12
19.6,47.83,12.22,953.12,24,16.18,485.26
3.32,38.5,14.04,516.74,1,3.69,110.66
38.63,34.37,7.7,819.11,12,11.06,331.72
29.88,53.81,14.25,547.13,15,11.79,353.7
37.28,38.8,8.04,40.79,5,6.5,194.88
35.27,40.12,5.91,315.01,6,7.33,219.8
21.91,65.97,12.72,575.55,16,12.16,364.82
36.48,87.8,7.39,950.59,12,11.66,349.85
-1.02,62.25,7.08,859.13,12,9.29,278.69
3.82,25.39,7.35,228.36,3,3.28,98.48
-2.96,25.29,12.7,220.11,23,12.98,389.54
9.64,86.6,12.48,201.17,2,4.44,133.27
12.49,40.81,6.05,922.5,7,7.17,215.15
7.21,26.44,5.0,852.67,2,3.47,103.97
32.29,61.93,7.38,774.88,21,15.04,451.18
11.05,63.66,8.59,392.74,7,6.81,204.42
7.64,65.4,3.58,504.38,11,8.38,251.39
19.42,38.72,11.91,464.33,11,8.76,262.76
1.34,21.06,7.3,253.4,14,9.37,281.15
31.1,87.55,5.01,505.03,3,5.98,179.42
-1.65,37.56,1.6,30.5,14,8.9,267.03
39.41,67.32,3.58,131.81,11,9.94,298.22
29.75,69.46,14.24,886.59,4,7.36,220.9
3.94,62.7,4.58,751.68,17,11.93,357.86
-4.75,41.9,2.53,422.87,16,9.82,294.69
31.7,38.98,6.91,517.15,3,5.94,178.08
26.81,61.84,4.61,370.0,10,9.08,272.32
27.81,80.63,0.53,740.78,21,15.58,467.46
29.71,86.27,4.85,784.19,15,12.55,376.39
-1.67,27.41,8.16,763.29,8,6.96,208.73
11.13,30.84,8.28,722.61,18,12.41,372.44
0.21,86.13,5.35,204.5,3,5.06,151.93
33.84,71.56,6.71,337.97,7,8.18,245.3
23.05,81.81,14.48,469.85,10,9.67,290.0
9.89,34.18,5.66,330.79,20,12.93,388.03
-2.14,61.13,3.87,754.94,9,7.87,236.01
8.99,69.08,3.65,329.35,14,10.73,322.03
9.63,67.61,6.87,138.23,23,14.5,435.08
27.83,48.57,11.39,399.04,14,11.4,342.08
23.69,21.08,3.09,979.91,11,8.89,266.68
34.92,60.8,10.64,225.88,1,5.05,151.59
16.25,37.72,0.32,612.16,4,4.87,146.05
0.38,51.52,6.28,432.97,6,5.52,165.55
27.1,87.03,11.64,71.02,22,15.95,478.41
29.24,47.93,5.08,487.88,22,14.71,441.2
20.26,78.79,8.46,702.16,5,7.18,215.31
29.69,33.2,3.07,513.22,3,5.35,160.41
17.22,67.07,11.13,872.11,2,5.03,150.88
18.52,88.39,0.78,288.94,3,5.33,159.97
14.24,27.13,12.79,86.25,9,7.29,218.62
-3.86,20.58,2.97,936.57,19,11.43,342.95
-0.14,50.35,13.12,378.2,19,12.57,377.16
-3.59,26.48,5.29,576.41,17,11.06,331.73
23.64,72.39,10.84,792.0,18,13.46,403.85
9.15,84.02,4.79,324.31,11,8.79,263.78
17.89,50.38,13.59,716.16,12,9.98,299.42
35.84,38.11,1.9,135.42,3,5.49,164.83
6.22,50.41,2.68,291.29,18,11.47,344.17
13.47,70.64,7.4,144.71,24,14.97,449.18
29.0,20.63,1.23,811.23,6,6.75,202.56
5.3,61.26,2.94,222.65,7,6.76,202.72
-1.54,62.93,14.16,717.4,1,3.72,111.46
8.04,64.64,14.65,943.3,6,7.0,209.93
2.25,36.94,5.64,527.77,18,12.02,360.53
36.84,69.98,13.85,540.03,13,11.89,356.75
31.37,26.4,8.17,461.03,22,15.02,450.65
23.5,33.95,4.05,325.89,19,12.86,385.92
34.22,81.42,10.54,475.66,7,9.11,273.17
31.17,71.71,9.88,602.81,19,14.58,437.42
3.4,20.96,14.84,985.99,9,7.92,237.45
35.17,37.39,3.98,937.76,3,6.26,187.87
19.27,35.01,10.08,862.15,23,15.56,466.9
31.33,38.96,0.78,889.13,12,10.05,301.46
35.32,37.33,1.7,467.85,20,13.84,415.06
9.31,24.38,0.06,657.44,24,14.9,446.86
-0.05,52.13,14.99,895.07,18,12.18,365.45
5.26,71.29,12.03,392.95,8,7.51,225.16
14.22,62.47,11.8,961.76,9,8.53,255.77
31.81,67.1,7.65,415.79,13,11.39,341.84
33.73,25.68,4.5,601.08,8,7.55,226.41
-4.69,86.6,2.27,709.8,22,14.61,438.15
17.98,78.69,4.27,950.59,10,9.65,289.63
13.78,76.36,5.64,244.62,17,11.82,354.51
4.99,77.61,11.34,746.13,7,7.43,222.91
0.39,85.29,8.09,520.82,17,11.77,353.15
10.19,58.1,1.16,268.56,23,14.3,428.95
37.43,34.02,0.27,776.61,18,13.19,395.65
9.54,63.17,1.53,552.22,24,14.9,447.07
18.35,72.0,6.16,660.97,2,5.69,170.67
26.64,71.65,14.0,322.9,3,5.54,166.18
11.36,56.5,9.56,481.27,19,13.13,393.86
38.73,24.79,12.03,617.35,1,4.78,143.45
38.31,45.98,7.0,404.91,21,15.1,452.88
6.33,84.45,5.42,198.37,21,13.72,411.69
17.38,60.91,1.63,961.64,10,9.27,278.14
8.54,57.68,13.14,511.47,21,14.22,426.47
7.82,38.82,11.75,733.92,14,10.44,313.33
-3.34,45.79,2.52,411.05,13,8.35,250.48
22.43,82.67,7.68,355.13,9,9.02,270.53
17.62,66.65,7.31,407.16,6,6.62,198.62
-2.68,75.12,9.38,409.2,6,5.59,167.62
7.54,51.8,14.19,544.18,19,12.8,383.93
35.87,64.12,8.7,543.47,21,15.31,459.42
5.78,37.39,8.1,497.15,10,7.74,232.33
1.52,69.38,0.75,134.79,23,14.33,429.78
17.03,49.93,0.94,496.08,3,4.68,140.49
39.35,50.98,2.81,169.1,18,13.06,391.68
5.89,65.45,0.49,126.14,21,12.8,384.15
25.25,85.54,11.15,932.65,19,14.93,447.81
29.27,24.48,10.85,604.95,5,6.45,193.55
5.69,77.73,2.04,659.49,11,8.91,267.28
27.77,40.47,12.54,401.79,10,9.18,275.43
11.55,51.07,2.32,908.98,17,12.11,363.45
23.45,21.53,4.52,637.93,4,5.35,160.38
23.51,41.07,3.73,769.17,21,14.39,431.68
19.11,55.18,5.58,368.56,18,12.73,381.95
-0.94,23.93,3.82,960.01,18,11.67,349.99
32.59,54.38,7.33,820.46,1,5.05,151.39
9.44,84.9,6.11,853.95,14,10.85,325.43
3.39,27.38,14.8,172.19,8,5.99,179.7
-3.17,73.51,0.84,270.96,2,3.75,112.42
21.59,48.68,2.13,285.63,19,13.28,398.27
25.49,65.86,0.79,270.91,15,11.3,338.88
-4.25,38.22,9.39,855.41,2,3.36,100.75
18.04,31.16,0.82,31.88,4,4.84,145.16
5.19,31.23,12.55,76.1,1,3.17,95.08
24.03,24.93,7.68,273.91,19,13.09,392.56
2.85,33.0,7.91,199.87,21,12.85,385.38
26.09,66.5,8.42,231.86,10,9.48,284.39
12.4,81.72,2.56,797.94,1,4.14,124.34
37.15,76.99,2.97,563.13,20,14.66,439.7
1.19,67.96,4.78,5.77,22,13.16,394.81
10.35,27.73,8.9,429.32,15,10.48,314.43
0.11,40.24,3.15,407.88,4,3.88,116.47
36.61,41.69,1.74,113.95,7,7.33,219.81
34.48,37.5,14.55,676.14,7,8.06,241.78
6.61,56.05,0.33,702.1,22,13.97,419.22
24.7,57.49,12.04,720.89,18,13.84,415.12
31.77,44.98,11.82,728.47,13,10.74,322.26
19.98,44.77,4.46,0.05,10,7.88,236.42
18.83,78.0,2.03,953.92,24,16.79,503.72
5.88,75.25,2.18,814.21,8,7.21,216.28
-0.81,41.55,10.46,903.98,10,8.18,245.44
35.37,83.97,9.64,15.64,14,12.07,362.08
35.52,86.7,11.74,933.86,14,13.23,396.85
23.49,42.87,14.06,809.79,20,14.64,439.2
10.26,44.81,10.38,837.22,22,14.38,431.31
10.71,55.39,2.34,93.29,11,8.39,251.8
27.67,85.88,3.65,738.78,6,7.53,225.8
35.37,81.34,12.63,959.92,21,15.99,479.76
34.92,27.18,3.14,678.55,1,4.16,124.69
30.09,47.49,1.09,570.56,19,13.37,401.19
23.89,58.74,10.55,945.63,7,8.51,255.2
-1.21,55.22,6.04,442.94,24,14.51,435.45
2.27,33.57,13.8,599.29,18,11.86,355.81
35.43,80.12,9.75,476.34,3,6.58,197.29
22.29,67.39,1.36,932.85,20,14.39,431.84
-4.59,78.65,14.22,76.08,11,8.82,264.48
-0.43,80.11,3.88,501.12,5,5.49,164.83
24.86,72.38,5.06,686.95,19,14.16,424.7
-4.77,50.74,6.03,791.91,21,13.17,395.08
2.24,62.74,0.77,583.02,24,14.53,436.01
19.69,31.23,7.45,908.92,24,15.73,471.93
26.14,67.16,1.85,941.99,2,5.96,178.82
24.34,32.55,6.01,64.32,22,13.71,411.34
5.09,68.58,5.26,402.37,4,4.76,142.68
27.05,36.07,11.59,23.46,10,8.1,242.96
5.68,28.23,12.05,329.42,2,3.8,114.11
9.64,31.57,2.3,536.87,8,6.94,208.3
28.59,20.14,5.5,910.79,1,4.47,134.19
24.23,70.31,5.6,846.55,6,7.6,228.02
33.22,71.27,2.27,127.5,11,10.17,305.1
24.59,56.05,11.98,93.03,10,9.07,272.09
20.57,31.3,10.61,589.27,13,10.37,311.22
-0.78,25.85,2.86,532.12,1,2.91,87.26
11.55,21.34,5.5,266.38,2,3.58,107.35
6.93,31.6,1.59,899.45,3,4.38,131.51
5.98,82.36,9.42,927.37,9,9.02,270.63
38.79,36.91,1.82,402.61,5,7.06,211.82
12.69,44.8,14.79,890.3,10,8.39,251.65
35.14,27.37,11.71,383.95,10,8.59,257.74
23.4,35.57,5.85,736.82,12,10.25,307.58
30.77,56.35,8.68,475.94,18,13.18,395.36
17.62,62.54,13.67,122.58,21,14.54,436.14
20.96,37.17,8.31,927.93,21,14.36,430.73
17.16,24.04,2.62,454.1,1,2.99,89.72
3.79,47.37,5.68,734.49,3,4.12,123.66
27.51,36.39,12.65,367.17,5,6.01,180.19
7.63,35.37,9.66,18.88,17,10.65,319.43
-3.91,87.19,9.76,100.53,8,6.93,207.91
24.05,63.14,13.0,496.22,17,13.05,391.59
2.97,58.98,13.41,689.96,9,8.41,252.2
37.32,49.1,13.8,334.74,6,7.54,226.15
37.93,50.03,1.42,695.49,17,13.15,394.6
36.17,57.86,8.16,698.64,8,8.93,267.93
11.66,68.75,11.11,703.94,21,14.53,436.03
-4.3,69.15,11.35,492.52,7,6.52,195.56
36.77,32.02,9.1,914.89,7,7.68,230.27
14.27,55.01,2.5,489.2,15,10.38,311.39
38.5,48.84,11.96,450.27,7,7.81,234.25
38.36,80.94,10.8,199.38,22,15.66,469.86
33.39,64.2,1.29,307.66,8,8.5,255.14
8.25,57.28,6.96,42.33,9,7.01,210.42
12.33,28.08,2.61,633.54,15,10.78,323.54
33.3,62.39,5.06,248.54,2,5.74,172.26
9.26,28.2,0.27,304.16,7,6.32,189.46
2.63,43.6,6.0,770.81,15,10.89,326.8
20.06,30.0,8.25,327.22,18,11.95,358.48
37.13,68.45,9.29,242.2,22,15.76,472.68
26.32,34.44,9.95,169.06,18,12.15,364.44
20.65,47.43,12.54,774.86,10,9.44,283.16
-0.63,82.7,3.23,129.71,22,14.24,427.13
22.68,34.3,1.81,453.75,18,12.68,380.37
39.55,55.55,12.77,506.93,1,5.41,162.36
1.3,49.35,2.35,687.39,7,6.57,197.06
18.32,21.27,14.62,633.28,3,4.51,135.33
34.48,75.49,12.64,810.72,14,11.96,358.92
28.33,24.83,7.51,44.75,12,9.44,283.1
26.37,53.2,14.72,296.44,14,11.05,331.37
26.61,59.25,1.46,280.13,4,6.34,190.05
11.18,63.99,4.55,146.02,13,9.22,276.55
8.21,68.2,9.57,289.18,16,11.71,351.2
31.42,37.73,5.25,309.77,16,11.77,353.19
31.46,20.7,13.93,521.88,22,15.25,457.61
34.02,70.64,0.98,663.7,5,7.62,228.72
36.1,57.5,8.24,381.1,20,15.0,449.97
18.01,78.53,8.86,719.47,6,7.25,217.63
17.57,77.5,9.79,336.17,6,7.51,225.24
30.92,79.03,3.83,290.28,18,13.18,395.51
24.25,53.96,5.47,541.19,6,6.58,197.36
26.59,43.35,12.66,23.72,7,7.03,210.94
30.81,75.41,2.92,79.79,24,16.54,496.34
35.05,51.59,12.4,417.97,24,16.55,496.43
10.21,32.84,8.44,942.91,16,11.69,350.78
11.9,79.85,11.43,721.51,9,8.99,269.59
-0.77,81.78,10.7,88.13,13,9.22,276.47
21.02,52.64,3.11,846.32,12,10.49,314.78
-3.38,25.3,8.53,732.3,19,11.39,341.58
15.95,47.15,13.02,610.95,23,15.64,469.21
19.42,76.25,6.48,820.29,23,15.82,474.45
7.89,83.12,14.5,404.11,1,4.4,131.89
21.59,34.24,6.78,221.5,8,7.11,213.35
-3.63,24.69,2.14,512.02,4,3.56,106.82
-3.32,81.41,5.84,548.84,21,13.54,406.34
32.02,47.26,14.28,538.33,22,15.21,456.17
11.21,57.92,4.8,565.07,19,12.63,378.95
0.72,87.76,13.02,948.7,21,14.32,429.53
18.5,24.66,13.22,902.25,5,6.21,186.18
29.65,65.38,5.25,875.72,17,13.62,408.64
4.71,25.19,1.25,801.42,3,4.15,124.42
23.03,46.28,10.87,943.43,19,14.24,427.2
-1.16,76.27,4.67,98.49,1,3.34,100.28
-2.67,50.34,11.74,265.12,23,14.18,425.4
18.91,89.8,6.64,495.06,1,5.1,153.1
19.33,59.13,7.28,846.53,23,15.66,469.9
23.68,42.48,11.67,505.17,20,14.08,422.35
27.67,35.41,5.74,748.03,9,8.08,242.45
38.91,44.54,6.65,138.96,23,16.03,481.04
18.23,46.08,5.64,252.41,5,6.03,180.98
9.53,24.81,5.51,731.78,7,6.12,183.45
30.78,45.87,7.89,164.73,6,7.13,213.78
7.19,52.5,12.13,351.36,17,11.14,334.12
14.75,70.59,5.43,264.87,22,14.29,428.83
-1.47,65.97,7.86,349.86,17,10.9,326.91
-3.86,69.61,10.06,708.32,13,9.99,299.69
38.32,20.59,4.04,367.85,12,10.07,302.18
32.62,35.24,4.16,555.26,4,6.33,189.88
26.32,66.32,14.0,99.93,8,7.67,230.0
13.4,53.88,10.85,805.02,5,6.38,191.39
2.8,20.37,8.66,369.89,5,4.88,146.45
2.04,76.31,9.72,648.53,13,9.72,291.71
6.26,74.1,0.44,725.39,11,9.18,275.5
19.72,58.39,9.27,209.66,8,7.23,216.76
27.16,24.65,7.64,884.67,8,7.65,229.39
24.71,73.66,8.19,616.22,1,5.05,151.39
7.6,60.86,5.39,428.73,13,9.84,295.23
37.97,74.74,1.22,182.34,5,6.76,202.74
28.21,72.62,2.9,942.3,21,15.08,452.32
19.95,76.21,14.26,755.07,8,8.41,252.27
22.53,56.26,6.13,208.02,17,11.88,356.47
13.88,29.82,7.0,337.71,23,14.06,421.94
6.15,66.98,0.79,809.67,23,14.88,446.27
11.02,63.43,0.56,695.68,13,10.19,305.58
29.1,71.96,10.76,765.78,9,9.42,282.63
-4.35,31.89,8.07,441.2,2,3.38,101.39
0.22,33.65,7.63,716.48,19,12.35,370.46
-2.93,82.33,3.65,386.49,20,12.62,378.68
-3.17,72.5,11.17,211.26,17,10.89,326.61
33.5,83.58,2.52,632.68,7,8.93,267.98
26.66,73.11,2.85,976.01,3,5.94,178.1
16.34,61.8,6.91,310.6,19,12.72,381.58
-0.6,65.79,4.29,460.97,19,11.9,356.94
17.12,82.24,3.71,674.0,24,16.41,492.44
16.31,60.52,9.68,541.51,9,8.44,253.2
2.79,64.27,9.76,843.43,10,9.05,271.45
14.52,30.95,12.37,761.74,14,10.86,325.95
12.93,53.17,6.27,58.3,18,11.87,356.02
22.71,70.15,1.1,998.42,15,11.94,358.25
23.58,38.97,4.1,752.4,1,4.13,123.92
-2.96,34.16,14.7,863.9,6,5.49,164.77
11.86,41.97,8.94,651.2,15,10.49,314.7
23.16,36.91,10.65,856.29,6,6.7,201.13
17.64,35.04,0.11,112.38,18,11.31,339.38
33.54,49.74,7.77,347.74,1,4.49,134.8
24.64,83.55,0.56,876.42,24,16.6,498.09
2.33,55.49,8.54,201.66,3,4.65,139.38
